month,customer,segment,state,network,data_type,patients_queried,patients_matched,patients_with_data,records_returned,freshness_days,avg_lookback_months
2025-07,Elation Direct,Primary care EHR,CO,CommonWell,conditions,662,538,392,2648,12.6,43.0
2025-07,Elation Direct,Primary care EHR,CO,CommonWell,encounters,662,538,385,3240,8.6,22.0
2025-07,Elation Direct,Primary care EHR,CO,CommonWell,medications,662,538,395,4238,3.0,46.0
2025-07,Elation Direct,Primary care EHR,CO,CommonWell,labs,662,538,402,6300,3.5,29.0
2025-07,Elation Direct,Primary care EHR,CO,CommonWell,documents,662,538,382,1479,13.2,24.0
2025-07,Elation Direct,Primary care EHR,CO,CommonWell,allergies,662,538,402,631,13.9,49.0
2025-07,Elation Direct,Primary care EHR,CO,CommonWell,immunizations,662,538,383,1039,23.8,38.0
2025-07,Elation Direct,Primary care EHR,CO,Surescripts,medications,662,622,598,7007,3.2,23.0
2025-07,Elation Direct,Primary care EHR,CO,Quest Labs,labs,662,611,298,3698,3.3,47.0
2025-07,Elation Direct,Primary care EHR,CO,Bamboo Health,adt_events,662,562,336,700,0.2,37.0
2025-07,Elation Direct,Primary care EHR,CO,PointClickCare,adt_events,662,540,274,585,0.2,23.0
2025-07,Elation Direct,Primary care EHR,IL,Carequality,conditions,256,206,152,881,14.6,22.0
2025-07,Elation Direct,Primary care EHR,IL,Carequality,encounters,256,206,152,1266,12.5,19.0
2025-07,Elation Direct,Primary care EHR,IL,Carequality,medications,256,206,149,1463,3.0,26.0
2025-07,Elation Direct,Primary care EHR,IL,Carequality,labs,256,206,150,2198,2.5,18.0
2025-07,Elation Direct,Primary care EHR,IL,Carequality,documents,256,206,155,655,18.0,28.0
2025-07,Elation Direct,Primary care EHR,IL,Carequality,allergies,256,206,142,197,16.8,57.0
2025-07,Elation Direct,Primary care EHR,IL,Carequality,immunizations,256,206,152,386,24.4,20.0
2025-07,Elation Direct,Primary care EHR,IL,CommonWell,conditions,256,197,135,869,14.7,25.0
2025-07,Elation Direct,Primary care EHR,IL,CommonWell,encounters,256,197,124,1069,9.4,48.0
2025-07,Elation Direct,Primary care EHR,IL,CommonWell,medications,256,197,137,1557,2.1,44.0
2025-07,Elation Direct,Primary care EHR,IL,CommonWell,labs,256,197,132,2060,3.5,25.0
2025-07,Elation Direct,Primary care EHR,IL,CommonWell,documents,256,197,128,474,19.4,37.0
2025-07,Elation Direct,Primary care EHR,IL,CommonWell,allergies,256,197,132,219,15.2,24.0
2025-07,Elation Direct,Primary care EHR,IL,CommonWell,immunizations,256,197,135,304,21.8,47.0
2025-07,Elation Direct,Primary care EHR,IL,Surescripts,medications,256,231,201,1977,2.6,35.0
2025-07,Elation Direct,Primary care EHR,IL,Quest Labs,labs,256,228,128,1595,2.8,31.0
2025-07,Elation Direct,Primary care EHR,IL,Bamboo Health,adt_events,256,207,109,215,0.2,35.0
2025-07,Elation Direct,Primary care EHR,IL,PointClickCare,adt_events,256,199,82,147,0.2,36.0
2025-07,Elation Direct,Primary care EHR,MS,Carequality,conditions,1602,1346,907,5745,13.0,47.0
2025-07,Elation Direct,Primary care EHR,MS,Carequality,encounters,1602,1346,870,8642,9.6,51.0
2025-07,Elation Direct,Primary care EHR,MS,Carequality,medications,1602,1346,906,9760,2.8,33.0
2025-07,Elation Direct,Primary care EHR,MS,Carequality,labs,1602,1346,883,13239,3.7,57.0
2025-07,Elation Direct,Primary care EHR,MS,Carequality,documents,1602,1346,542,2235,18.0,31.0
2025-07,Elation Direct,Primary care EHR,MS,Carequality,allergies,1602,1346,854,1363,12.0,21.0
2025-07,Elation Direct,Primary care EHR,MS,Carequality,immunizations,1602,1346,906,1884,18.8,32.0
2025-07,Elation Direct,Primary care EHR,MS,CommonWell,conditions,1602,1201,725,4822,9.7,53.0
2025-07,Elation Direct,Primary care EHR,MS,CommonWell,encounters,1602,1201,666,6084,8.8,43.0
2025-07,Elation Direct,Primary care EHR,MS,CommonWell,medications,1602,1201,666,7029,3.2,60.0
2025-07,Elation Direct,Primary care EHR,MS,CommonWell,labs,1602,1201,713,9415,3.4,48.0
2025-07,Elation Direct,Primary care EHR,MS,CommonWell,documents,1602,1201,428,1828,12.1,27.0
2025-07,Elation Direct,Primary care EHR,MS,CommonWell,allergies,1602,1201,711,1022,12.4,53.0
2025-07,Elation Direct,Primary care EHR,MS,CommonWell,immunizations,1602,1201,741,1808,24.4,60.0
2025-07,Elation Direct,Primary care EHR,MS,Surescripts,medications,1602,1401,1093,11635,2.1,50.0
2025-07,Elation Direct,Primary care EHR,MS,Quest Labs,labs,1602,1336,777,9738,2.7,56.0
2025-07,Elation Direct,Primary care EHR,MS,Bamboo Health,adt_events,1602,1280,548,976,0.2,43.0
2025-07,Elation Direct,Primary care EHR,MS,PointClickCare,adt_events,1602,1182,455,798,0.2,45.0
2025-07,Elation Direct,Primary care EHR,NM,Carequality,conditions,2348,1913,1270,8495,9.9,33.0
2025-07,Elation Direct,Primary care EHR,NM,Carequality,encounters,2348,1913,1307,11814,12.2,38.0
2025-07,Elation Direct,Primary care EHR,NM,Carequality,medications,2348,1913,1291,15700,2.6,56.0
2025-07,Elation Direct,Primary care EHR,NM,Carequality,labs,2348,1913,1251,19354,2.9,39.0
2025-07,Elation Direct,Primary care EHR,NM,Carequality,documents,2348,1913,1260,4553,15.0,57.0
2025-07,Elation Direct,Primary care EHR,NM,Carequality,allergies,2348,1913,1282,1852,13.6,26.0
2025-07,Elation Direct,Primary care EHR,NM,Carequality,immunizations,2348,1913,1274,3449,20.5,31.0
2025-07,Elation Direct,Primary care EHR,NM,CommonWell,conditions,2348,1734,1039,6012,13.8,45.0
2025-07,Elation Direct,Primary care EHR,NM,CommonWell,encounters,2348,1734,990,9744,10.4,50.0
2025-07,Elation Direct,Primary care EHR,NM,CommonWell,medications,2348,1734,1054,12361,3.2,51.0
2025-07,Elation Direct,Primary care EHR,NM,CommonWell,labs,2348,1734,1004,12428,3.5,36.0
2025-07,Elation Direct,Primary care EHR,NM,CommonWell,documents,2348,1734,1012,4341,19.3,59.0
2025-07,Elation Direct,Primary care EHR,NM,CommonWell,allergies,2348,1734,1050,1797,16.4,33.0
2025-07,Elation Direct,Primary care EHR,NM,CommonWell,immunizations,2348,1734,984,2036,23.8,39.0
2025-07,Elation Direct,Primary care EHR,NM,Surescripts,medications,2348,2104,1634,20551,2.5,51.0
2025-07,Elation Direct,Primary care EHR,NM,Quest Labs,labs,2348,2009,727,11100,3.8,53.0
2025-07,Elation Direct,Primary care EHR,NM,Bamboo Health,adt_events,2348,1891,828,1360,0.2,46.0
2025-07,Elation Direct,Primary care EHR,NM,PointClickCare,adt_events,2348,1780,748,1577,0.2,52.0
2025-07,Elation Direct,Primary care EHR,MD,Carequality,conditions,1067,929,737,4736,14.7,18.0
2025-07,Elation Direct,Primary care EHR,MD,Carequality,encounters,1067,929,754,7543,8.1,35.0
2025-07,Elation Direct,Primary care EHR,MD,Carequality,medications,1067,929,741,8570,2.3,54.0
2025-07,Elation Direct,Primary care EHR,MD,Carequality,labs,1067,929,779,12062,2.8,43.0
2025-07,Elation Direct,Primary care EHR,MD,Carequality,documents,1067,929,743,2840,18.6,26.0
2025-07,Elation Direct,Primary care EHR,MD,Carequality,allergies,1067,929,760,1158,16.2,52.0
2025-07,Elation Direct,Primary care EHR,MD,Carequality,immunizations,1067,929,787,1773,20.1,24.0
2025-07,Elation Direct,Primary care EHR,MD,CommonWell,conditions,1067,870,599,3593,15.1,39.0
2025-07,Elation Direct,Primary care EHR,MD,CommonWell,encounters,1067,870,626,5706,8.3,26.0
2025-07,Elation Direct,Primary care EHR,MD,CommonWell,medications,1067,870,635,6887,2.8,32.0
2025-07,Elation Direct,Primary care EHR,MD,CommonWell,labs,1067,870,624,9939,3.5,41.0
2025-07,Elation Direct,Primary care EHR,MD,CommonWell,documents,1067,870,623,2858,13.8,32.0
2025-07,Elation Direct,Primary care EHR,MD,CommonWell,allergies,1067,870,638,1029,16.4,43.0
2025-07,Elation Direct,Primary care EHR,MD,CommonWell,immunizations,1067,870,634,1430,18.4,32.0
2025-07,Elation Direct,Primary care EHR,MD,Surescripts,medications,1067,1006,984,11023,3.0,51.0
2025-07,Elation Direct,Primary care EHR,MD,Quest Labs,labs,1067,959,358,5755,3.4,52.0
2025-07,Elation Direct,Primary care EHR,MD,Bamboo Health,adt_events,1067,895,501,861,0.2,22.0
2025-07,Elation Direct,Primary care EHR,MD,PointClickCare,adt_events,1067,874,426,812,0.2,20.0
2025-07,Elation Direct,Primary care EHR,OR,Carequality,conditions,2581,2115,1589,8495,11.1,21.0
2025-07,Elation Direct,Primary care EHR,OR,Carequality,encounters,2581,2115,1585,15130,9.6,20.0
2025-07,Elation Direct,Primary care EHR,OR,Carequality,medications,2581,2115,1580,16777,2.1,47.0
2025-07,Elation Direct,Primary care EHR,OR,Carequality,labs,2581,2115,1585,20872,3.0,35.0
2025-07,Elation Direct,Primary care EHR,OR,Carequality,documents,2581,2115,1623,5879,18.5,18.0
2025-07,Elation Direct,Primary care EHR,OR,Carequality,allergies,2581,2115,1615,2575,13.5,36.0
2025-07,Elation Direct,Primary care EHR,OR,Carequality,immunizations,2581,2115,1609,4256,18.6,32.0
2025-07,Elation Direct,Primary care EHR,OR,CommonWell,conditions,2581,1960,1292,8450,11.0,32.0
2025-07,Elation Direct,Primary care EHR,OR,CommonWell,encounters,2581,1960,1380,11334,10.3,48.0
2025-07,Elation Direct,Primary care EHR,OR,CommonWell,medications,2581,1960,1353,12862,2.2,57.0
2025-07,Elation Direct,Primary care EHR,OR,CommonWell,labs,2581,1960,1356,17208,2.4,23.0
2025-07,Elation Direct,Primary care EHR,OR,CommonWell,documents,2581,1960,1262,4773,16.3,43.0
2025-07,Elation Direct,Primary care EHR,OR,CommonWell,allergies,2581,1960,1277,1739,17.2,44.0
2025-07,Elation Direct,Primary care EHR,OR,CommonWell,immunizations,2581,1960,1370,3557,24.6,29.0
2025-07,Elation Direct,Primary care EHR,OR,Surescripts,medications,2581,2370,2051,23261,3.2,33.0
2025-07,Elation Direct,Primary care EHR,OR,Quest Labs,labs,2581,2217,1103,16828,3.3,27.0
2025-07,Elation Direct,Primary care EHR,OR,Bamboo Health,adt_events,2581,2175,1209,2006,0.2,33.0
2025-07,Elation Direct,Primary care EHR,OR,PointClickCare,adt_events,2581,2103,970,1967,0.2,49.0
2025-07,Elation Direct,Primary care EHR,WI,Carequality,conditions,427,376,298,1899,10.4,24.0
2025-07,Elation Direct,Primary care EHR,WI,Carequality,encounters,427,376,288,2467,10.5,60.0
2025-07,Elation Direct,Primary care EHR,WI,Carequality,medications,427,376,296,2783,3.2,43.0
2025-07,Elation Direct,Primary care EHR,WI,Carequality,labs,427,376,296,4637,3.7,41.0
2025-07,Elation Direct,Primary care EHR,WI,Carequality,documents,427,376,288,1100,12.4,43.0
2025-07,Elation Direct,Primary care EHR,WI,Carequality,allergies,427,376,300,503,17.1,19.0
2025-07,Elation Direct,Primary care EHR,WI,Carequality,immunizations,427,376,304,670,24.7,29.0
2025-07,Elation Direct,Primary care EHR,WI,CommonWell,conditions,427,336,230,1381,13.7,48.0
2025-07,Elation Direct,Primary care EHR,WI,CommonWell,encounters,427,336,245,2507,12.9,36.0
2025-07,Elation Direct,Primary care EHR,WI,CommonWell,medications,427,336,239,2244,3.0,40.0
2025-07,Elation Direct,Primary care EHR,WI,CommonWell,labs,427,336,234,2877,3.7,35.0
2025-07,Elation Direct,Primary care EHR,WI,CommonWell,documents,427,336,239,876,19.2,25.0
2025-07,Elation Direct,Primary care EHR,WI,CommonWell,allergies,427,336,247,437,17.6,27.0
2025-07,Elation Direct,Primary care EHR,WI,CommonWell,immunizations,427,336,223,572,24.8,34.0
2025-07,Elation Direct,Primary care EHR,WI,Surescripts,medications,427,396,370,4352,3.0,42.0
2025-07,Elation Direct,Primary care EHR,WI,Quest Labs,labs,427,368,93,1444,3.6,22.0
2025-07,Elation Direct,Primary care EHR,WI,Bamboo Health,adt_events,427,368,218,354,0.3,34.0
2025-07,Elation Direct,Primary care EHR,WI,PointClickCare,adt_events,427,361,174,320,0.2,44.0
2025-07,Elation Direct,Primary care EHR,KY,Carequality,conditions,628,532,373,2383,15.2,38.0
2025-07,Elation Direct,Primary care EHR,KY,Carequality,encounters,628,532,390,3568,10.0,24.0
2025-07,Elation Direct,Primary care EHR,KY,Carequality,medications,628,532,384,4457,2.4,58.0
2025-07,Elation Direct,Primary care EHR,KY,Carequality,labs,628,532,370,4556,3.5,55.0
2025-07,Elation Direct,Primary care EHR,KY,Carequality,documents,628,532,373,1392,13.4,40.0
2025-07,Elation Direct,Primary care EHR,KY,Carequality,allergies,628,532,374,555,11.5,38.0
2025-07,Elation Direct,Primary care EHR,KY,Carequality,immunizations,628,532,388,973,21.0,23.0
2025-07,Elation Direct,Primary care EHR,KY,CommonWell,conditions,628,487,310,2074,14.9,56.0
2025-07,Elation Direct,Primary care EHR,KY,CommonWell,encounters,628,487,322,3501,12.8,21.0
2025-07,Elation Direct,Primary care EHR,KY,CommonWell,medications,628,487,315,3261,2.7,22.0
2025-07,Elation Direct,Primary care EHR,KY,CommonWell,labs,628,487,296,4289,3.2,25.0
2025-07,Elation Direct,Primary care EHR,KY,CommonWell,documents,628,487,313,1152,18.4,43.0
2025-07,Elation Direct,Primary care EHR,KY,CommonWell,allergies,628,487,304,456,13.8,35.0
2025-07,Elation Direct,Primary care EHR,KY,CommonWell,immunizations,628,487,314,815,18.1,58.0
2025-07,Elation Direct,Primary care EHR,KY,Surescripts,medications,628,586,481,4656,2.3,54.0
2025-07,Elation Direct,Primary care EHR,KY,Quest Labs,labs,628,529,225,3102,2.8,48.0
2025-07,Elation Direct,Primary care EHR,KY,Bamboo Health,adt_events,628,522,278,533,0.2,28.0
2025-07,Elation Direct,Primary care EHR,KY,PointClickCare,adt_events,628,496,210,445,0.2,40.0
2025-07,Elation Direct,Primary care EHR,CA,Carequality,conditions,1578,1388,1055,6612,12.2,24.0
2025-07,Elation Direct,Primary care EHR,CA,Carequality,encounters,1578,1388,1060,11436,10.4,58.0
2025-07,Elation Direct,Primary care EHR,CA,Carequality,medications,1578,1388,1068,11939,2.3,29.0
2025-07,Elation Direct,Primary care EHR,CA,Carequality,labs,1578,1388,1086,13465,3.8,32.0
2025-07,Elation Direct,Primary care EHR,CA,Carequality,documents,1578,1388,1073,4353,15.0,40.0
2025-07,Elation Direct,Primary care EHR,CA,Carequality,allergies,1578,1388,1069,1961,16.9,49.0
2025-07,Elation Direct,Primary care EHR,CA,Carequality,immunizations,1578,1388,1012,2175,25.2,32.0
2025-07,Elation Direct,Primary care EHR,CA,CommonWell,conditions,1578,1233,878,5924,13.3,50.0
2025-07,Elation Direct,Primary care EHR,CA,CommonWell,encounters,1578,1233,855,7420,12.6,36.0
2025-07,Elation Direct,Primary care EHR,CA,CommonWell,medications,1578,1233,842,7879,3.2,30.0
2025-07,Elation Direct,Primary care EHR,CA,CommonWell,labs,1578,1233,826,11419,2.6,24.0
2025-07,Elation Direct,Primary care EHR,CA,CommonWell,documents,1578,1233,842,3341,18.9,31.0
2025-07,Elation Direct,Primary care EHR,CA,CommonWell,allergies,1578,1233,819,1295,15.8,43.0
2025-07,Elation Direct,Primary care EHR,CA,CommonWell,immunizations,1578,1233,855,2329,19.4,25.0
2025-07,Elation Direct,Primary care EHR,CA,Surescripts,medications,1578,1470,1306,12384,2.6,55.0
2025-07,Elation Direct,Primary care EHR,CA,Quest Labs,labs,1578,1368,622,8191,3.8,33.0
2025-07,Elation Direct,Primary care EHR,CA,Bamboo Health,adt_events,1578,1343,720,1393,0.2,39.0
2025-07,Elation Direct,Primary care EHR,CA,PointClickCare,adt_events,1578,1284,624,1237,0.2,35.0
2025-07,Elation Direct,Primary care EHR,WA,Carequality,conditions,997,861,664,3612,13.6,46.0
2025-07,Elation Direct,Primary care EHR,WA,Carequality,encounters,997,861,677,5504,9.6,26.0
2025-07,Elation Direct,Primary care EHR,WA,Carequality,medications,997,861,656,7996,2.3,46.0
2025-07,Elation Direct,Primary care EHR,WA,Carequality,labs,997,861,665,8682,2.6,30.0
2025-07,Elation Direct,Primary care EHR,WA,Carequality,documents,997,861,670,3085,13.5,41.0
2025-07,Elation Direct,Primary care EHR,WA,Carequality,allergies,997,861,628,1141,15.5,29.0
2025-07,Elation Direct,Primary care EHR,WA,Carequality,immunizations,997,861,664,1507,25.8,35.0
2025-07,Elation Direct,Primary care EHR,WA,CommonWell,conditions,997,785,551,3313,14.9,44.0
2025-07,Elation Direct,Primary care EHR,WA,CommonWell,encounters,997,785,535,5747,12.3,32.0
2025-07,Elation Direct,Primary care EHR,WA,CommonWell,medications,997,785,559,6130,2.8,32.0
2025-07,Elation Direct,Primary care EHR,WA,CommonWell,labs,997,785,530,8338,3.8,53.0
2025-07,Elation Direct,Primary care EHR,WA,CommonWell,documents,997,785,550,2420,17.7,50.0
2025-07,Elation Direct,Primary care EHR,WA,CommonWell,allergies,997,785,582,919,12.9,45.0
2025-07,Elation Direct,Primary care EHR,WA,CommonWell,immunizations,997,785,550,1224,21.9,35.0
2025-07,Elation Direct,Primary care EHR,WA,Surescripts,medications,997,943,831,10129,2.2,18.0
2025-07,Elation Direct,Primary care EHR,WA,Quest Labs,labs,997,856,471,7264,2.6,51.0
2025-07,Elation Direct,Primary care EHR,WA,Bamboo Health,adt_events,997,815,440,961,0.2,24.0
2025-07,Elation Direct,Primary care EHR,WA,PointClickCare,adt_events,997,832,442,948,0.3,21.0
2025-07,Elation Direct,Primary care EHR,MA,Carequality,conditions,2219,1929,1597,9220,14.9,46.0
2025-07,Elation Direct,Primary care EHR,MA,Carequality,encounters,2219,1929,1526,15943,8.9,36.0
2025-07,Elation Direct,Primary care EHR,MA,Carequality,medications,2219,1929,1557,17130,2.9,45.0
2025-07,Elation Direct,Primary care EHR,MA,Carequality,labs,2219,1929,1555,25031,3.2,22.0
2025-07,Elation Direct,Primary care EHR,MA,Carequality,documents,2219,1929,1599,7493,14.4,37.0
2025-07,Elation Direct,Primary care EHR,MA,Carequality,allergies,2219,1929,1604,2221,15.9,33.0
2025-07,Elation Direct,Primary care EHR,MA,Carequality,immunizations,2219,1929,1607,4241,24.2,35.0
2025-07,Elation Direct,Primary care EHR,MA,CommonWell,conditions,2219,1827,1397,9444,12.5,56.0
2025-07,Elation Direct,Primary care EHR,MA,CommonWell,encounters,2219,1827,1347,14251,8.5,24.0
2025-07,Elation Direct,Primary care EHR,MA,CommonWell,medications,2219,1827,1356,12980,2.1,18.0
2025-07,Elation Direct,Primary care EHR,MA,CommonWell,labs,2219,1827,1316,19941,2.5,45.0
2025-07,Elation Direct,Primary care EHR,MA,CommonWell,documents,2219,1827,1408,5197,13.1,54.0
2025-07,Elation Direct,Primary care EHR,MA,CommonWell,allergies,2219,1827,1310,2120,16.9,22.0
2025-07,Elation Direct,Primary care EHR,MA,CommonWell,immunizations,2219,1827,1337,3437,18.6,50.0
2025-07,Elation Direct,Primary care EHR,MA,Surescripts,medications,2219,2089,1975,21494,2.5,27.0
2025-07,Elation Direct,Primary care EHR,MA,Quest Labs,labs,2219,1961,1034,12821,2.5,25.0
2025-07,Elation Direct,Primary care EHR,MA,Bamboo Health,adt_events,2219,1923,1150,2118,0.3,24.0
2025-07,Elation Direct,Primary care EHR,MA,PointClickCare,adt_events,2219,1826,946,1739,0.2,59.0
2025-07,Elation Direct,Primary care EHR,UT,Carequality,conditions,1978,1575,1076,6112,13.5,30.0
2025-07,Elation Direct,Primary care EHR,UT,Carequality,encounters,1978,1575,1074,10406,10.8,53.0
2025-07,Elation Direct,Primary care EHR,UT,Carequality,medications,1978,1575,1178,11117,2.1,43.0
2025-07,Elation Direct,Primary care EHR,UT,Carequality,labs,1978,1575,1061,13785,3.0,50.0
2025-07,Elation Direct,Primary care EHR,UT,Carequality,documents,1978,1575,1071,4471,14.9,29.0
2025-07,Elation Direct,Primary care EHR,UT,Carequality,allergies,1978,1575,1134,1713,15.1,46.0
2025-07,Elation Direct,Primary care EHR,UT,Carequality,immunizations,1978,1575,1141,2328,18.1,56.0
2025-07,Elation Direct,Primary care EHR,UT,CommonWell,conditions,1978,1543,1005,6960,12.4,38.0
2025-07,Elation Direct,Primary care EHR,UT,CommonWell,encounters,1978,1543,978,8063,9.1,43.0
2025-07,Elation Direct,Primary care EHR,UT,CommonWell,medications,1978,1543,948,10989,2.3,22.0
2025-07,Elation Direct,Primary care EHR,UT,CommonWell,labs,1978,1543,945,12923,2.7,24.0
2025-07,Elation Direct,Primary care EHR,UT,CommonWell,documents,1978,1543,966,3747,14.7,20.0
2025-07,Elation Direct,Primary care EHR,UT,CommonWell,allergies,1978,1543,1056,1570,15.5,27.0
2025-07,Elation Direct,Primary care EHR,UT,CommonWell,immunizations,1978,1543,980,2655,17.0,23.0
2025-07,Elation Direct,Primary care EHR,UT,Surescripts,medications,1978,1728,1342,13087,3.1,50.0
2025-07,Elation Direct,Primary care EHR,UT,Quest Labs,labs,1978,1724,495,7962,2.5,35.0
2025-07,Elation Direct,Primary care EHR,UT,Bamboo Health,adt_events,1978,1631,800,1555,0.2,25.0
2025-07,Elation Direct,Primary care EHR,UT,PointClickCare,adt_events,1978,1538,637,1208,0.3,34.0
2025-07,Elation Direct,Primary care EHR,LA,Carequality,conditions,1054,870,575,3167,11.5,26.0
2025-07,Elation Direct,Primary care EHR,LA,Carequality,encounters,1054,870,616,6494,10.9,33.0
2025-07,Elation Direct,Primary care EHR,LA,Carequality,medications,1054,870,580,6248,2.8,57.0
2025-07,Elation Direct,Primary care EHR,LA,Carequality,labs,1054,870,558,7557,2.9,37.0
2025-07,Elation Direct,Primary care EHR,LA,Carequality,documents,1054,870,616,2496,16.9,41.0
2025-07,Elation Direct,Primary care EHR,LA,Carequality,allergies,1054,870,578,881,13.9,22.0
2025-07,Elation Direct,Primary care EHR,LA,Carequality,immunizations,1054,870,581,1487,19.9,27.0
2025-07,Elation Direct,Primary care EHR,LA,CommonWell,conditions,1054,797,484,2782,14.6,57.0
2025-07,Elation Direct,Primary care EHR,LA,CommonWell,encounters,1054,797,495,4940,8.3,58.0
2025-07,Elation Direct,Primary care EHR,LA,CommonWell,medications,1054,797,478,5926,2.7,18.0
2025-07,Elation Direct,Primary care EHR,LA,CommonWell,labs,1054,797,475,7009,3.2,19.0
2025-07,Elation Direct,Primary care EHR,LA,CommonWell,documents,1054,797,503,2280,15.7,38.0
2025-07,Elation Direct,Primary care EHR,LA,CommonWell,allergies,1054,797,485,842,13.5,55.0
2025-07,Elation Direct,Primary care EHR,LA,CommonWell,immunizations,1054,797,516,1262,18.7,25.0
2025-07,Elation Direct,Primary care EHR,LA,Surescripts,medications,1054,929,687,7639,3.2,58.0
2025-07,Elation Direct,Primary care EHR,LA,Quest Labs,labs,1054,874,366,5268,3.7,34.0
2025-07,Elation Direct,Primary care EHR,LA,Bamboo Health,adt_events,1054,804,394,744,0.2,59.0
2025-07,Elation Direct,Primary care EHR,LA,PointClickCare,adt_events,1054,809,357,651,0.2,23.0
2025-07,Elation Direct,Primary care EHR,OH,Carequality,conditions,467,406,311,1803,11.4,55.0
2025-07,Elation Direct,Primary care EHR,OH,Carequality,encounters,467,406,315,3010,10.3,47.0
2025-07,Elation Direct,Primary care EHR,OH,Carequality,medications,467,406,310,3582,2.5,44.0
2025-07,Elation Direct,Primary care EHR,OH,Carequality,labs,467,406,318,4400,3.2,27.0
